DateTime,Transaction,Product,LineItem,Amount,BalanceDetails,OrderDate,Payment,OrderNumber,AuthCode,Total
Dec-06-2018 10:05 PM,Transfer at Bus Stop 53282,Stored Value,,$0.00,$17.80,,,,,
Dec-06-2018 09:49 PM,Tap in at Bus Stop 61912,Stored Value,,-$2.30,$17.80,,,,,
Dec-06-2018 08:50 PM,Purchase at Granville Stn,Stored Value,,-$1.90,$20.10,,,,,
Dec-06-2018 08:50 PM,AutoLoaded,Stored Value,,$20.00,$22.00,,,,,
Dec-06-2018 01:49 PM,Purchase at Inlet Centre Stn,Stored Value,,-$3.90,$2.00,,,,,
Dec-03-2018 10:38 PM,Tap in at Bus Stop 53286,Stored Value,,-$2.30,$5.90,,,,,
Dec-02-2018 01:34 PM,Tap in at Bus Stop 53282,Stored Value,,-$2.30,$8.20,,,,,
Nov-30-2018 12:06 PM,Transfer at Bus Stop 53282,Stored Value,,$0.00,$10.50,,,,,
Nov-30-2018 11:36 AM,Tap in at Bus Stop 59100,Stored Value,,-$2.30,$10.50,,,,,
Nov-30-2018 11:36 AM,Missing Tap out,Stored Value,,$0.00,$12.80,,,,,
Nov-30-2018 11:36 AM,Removed,3 Zone UPass (N),,$0.00,$12.80,,,,,
Nov-30-2018 11:36 AM,Removed,3 Zone UPass (N),,$0.00,$12.80,,,,,
Nov-26-2018 06:02 PM,Purchase at Inlet Centre Stn,Stored Value,,-$1.90,$12.80,,,,,
Nov-26-2018 06:02 PM,Loaded at Inlet Centre Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-24-2018 06:08 PM,Transfer at Commercial-Broadway Stn,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-24-2018 05:37 PM,Tap in at Bus Stop 50276,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-23-2018 01:47 PM,Tap in at Bus Stop 50044,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-23-2018 11:49 AM,Tap in at Bus Stop 59936,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-23-2018 09:46 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-22-2018 12:36 PM,Tap in at Bus Stop 61701,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-22-2018 07:51 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-21-2018 04:16 PM,Transfer at Bus Stop 61701,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-21-2018 02:51 PM,Tap in at Bus Stop 50577,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-20-2018 03:18 PM,Tap in at Bus Stop 52095,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-20-2018 02:49 PM,Transfer at Bus Stop 50276,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-20-2018 01:44 PM,Tap in at Bus Stop 58895,3 Zone UPass (N),,$0.00,$14.70,,,,,
