DateTime,Transaction,Product,LineItem,Amount,BalanceDetails,OrderDate,Payment,OrderNumber,AuthCode,Total
May-11-2019 03:08 PM,Tap out at Metrotown Stn,Stored Value,,$0.00,$12.40,,,,,
May-11-2019 02:56 PM,Transfer at Commercial Drive Stn,Stored Value,,$0.00,$12.40,,,,,
May-11-2019 02:19 PM,Tap in at Bus Stop 50276,Stored Value,,-$2.30,$12.40,,,,,
May-10-2019 03:36 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$14.70,,,,,
May-10-2019 10:37 AM,Tap in at Bus Stop 50577,Stored Value,,-$2.30,$17.00,,,,,
May-09-2019 05:53 PM,Tap in at Bus Stop 61701,Stored Value,,-$2.30,$19.30,,,,,
May-09-2019 04:05 PM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$21.60,,,,,
May-09-2019 01:23 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$23.90,,,,,
May-09-2019 09:16 AM,Tap in at Bus Stop 50577,Stored Value,,-$2.30,$26.20,,,,,
May-08-2019 01:05 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$28.50,,,,,
May-08-2019 09:22 AM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$30.80,,,,,
May-07-2019 03:40 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$33.10,,,,,
May-07-2019 01:23 PM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$35.40,,,,,
May-07-2019 09:01 AM,Tap in at Bus Stop 58099,Stored Value,,-$2.30,$37.70,,,,,
May-07-2019 09:01 AM,Loaded at Bus Stop 58099,Stored Value,,$40.00,$40.00,,,,,
May-06-2019 04:00 PM,"#15283513
Web Order",Transit value or product load,Add Stored Value,$40.00,,May-06-2019 04:00 PM,Visa,15283513,00339F,$40.00
Apr-26-2019 10:25 AM,Tap in at Bus Stop 58895,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-26-2019 07:54 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-24-2019 03:23 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-24-2019 01:31 PM,Tap in at Bus Stop 50577,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-23-2019 09:13 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-23-2019 02:14 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-20-2019 05:27 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-20-2019 02:36 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-18-2019 11:05 PM,Transfer at Bus Stop 58501,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-18-2019 10:53 PM,Tap out at Broadway-City Hall Stn,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-18-2019 10:33 PM,Tap in at Lansdowne Stn,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-18-2019 07:50 PM,Tap out at Lansdowne Stn,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-18-2019 07:27 PM,Transfer at Broadway-City Hall Stn,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-18-2019 07:06 PM,Tap in at Bus Stop 50276,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-17-2019 01:46 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-17-2019 10:30 AM,Tap in at Bus Stop 50577,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-15-2019 05:29 PM,Tap in at Bus Stop 61701,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-15-2019 02:47 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-12-2019 05:29 PM,Tap in at Bus Stop 61701,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-12-2019 03:19 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-11-2019 06:23 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$0.00,,,,,
Apr-11-2019 03:38 PM,Tap in at Bus Stop 50577,3 Zone UPass (N),,$0.00,$0.00,,,,,
