DateTime,Transaction,Product,LineItem,Amount,BalanceDetails,OrderDate,Payment,OrderNumber,AuthCode,Total
Dec-21-2018 04:08 PM,Transfer at Bus Stop 50913,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-21-2018 04:06 PM,Tap out at Commercial-Broadway Stn,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-21-2018 03:54 PM,Transfer at Metrotown Stn,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-21-2018 03:25 PM,Tap out at Metrotown Stn,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-21-2018 02:46 PM,Tap in at Inlet Centre Stn,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-19-2018 04:37 PM,Tap in at Bus Stop 50347,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-15-2018 11:10 AM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-15-2018 07:06 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-11-2018 01:42 PM,Transfer at Bus Stop 58895,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-11-2018 12:55 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-11-2018 11:13 AM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-11-2018 08:06 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-07-2018 03:09 PM,Transfer at Bus Stop 50268,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-07-2018 02:40 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-05-2018 01:46 PM,Transfer at Bus Stop 58023,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-05-2018 12:21 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$0.00,,,,,
Dec-05-2018 08:49 AM,Tap in at Bus Stop 50044,3 Zone UPass (N),,$0.00,$0.00,,,,,
Nov-30-2018 12:22 PM,Tap in at Bus Stop 61701,3 Zone UPass (C),,$0.00,$0.00,,,,,
Nov-30-2018 06:50 AM,Tap in at Bus Stop 58023,3 Zone UPass (C),,$0.00,$0.00,,,,,
Nov-29-2018 10:34 PM,Tap in at Bus Stop 50268,3 Zone UPass (C),,$0.00,$0.00,,,,,
Nov-29-2018 04:41 PM,Tap in at Bus Stop 58023,3 Zone UPass (C),,$0.00,$0.00,,,,,
Nov-29-2018 01:21 PM,Tap in at Bus Stop 50268,3 Zone UPass (C),,$0.00,$0.00,,,,,
Nov-29-2018 07:48 AM,Tap in at Bus Stop 50577,3 Zone UPass (C),,$0.00,$0.00,,,,,
Nov-28-2018 12:11 PM,Transfer at Bus Stop 50268,3 Zone UPass (C),,$0.00,$0.00,,,,,
Nov-28-2018 10:53 AM,Tap in at Bus Stop 58023,3 Zone UPass (C),,$0.00,$0.00,,,,,
Nov-28-2018 10:53 AM,Loaded at Bus Stop 58023,3 Zone UPass (C),,$0.00,$0.00,,,,,
Nov-28-2018 10:53 AM,Loaded at Bus Stop 58023,3 Zone UPass (N),,$0.00,$0.00,,,,,
Nov-13-2018 10:31 AM,Purchase at COS,Stored Value,,$0.00,$0.00,,,,,
