DateTime,Transaction,Product,LineItem,Amount,BalanceDetails,OrderDate,Payment,OrderNumber,AuthCode,Total
Jun-01-2019 01:07 PM,"#15694481
Web Order",Transit value or product load,Add Stored Value,$42.00,,Jun-01-2019 01:07 PM,Visa,15694481,01830F,$42.00
May-31-2019 04:28 PM,Tap in at Bus Stop 61701,Stored Value,,-$2.30,-$2.00,,,,,
May-31-2019 01:01 PM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$0.30,,,,,
May-29-2019 05:31 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$2.60,,,,,
May-29-2019 03:34 PM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$4.90,,,,,
May-29-2019 06:42 AM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$7.20,,,,,
May-28-2019 12:57 PM,Tap in at Bus Stop 58099,Stored Value,,-$2.30,$9.50,,,,,
May-28-2019 11:18 AM,Tap in at Bus Stop 50347,Stored Value,,-$2.30,$11.80,,,,,
May-27-2019 04:14 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$14.10,,,,,
May-27-2019 01:45 PM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$16.40,,,,,
May-25-2019 11:52 AM,Tap out at Metrotown Stn,Stored Value,,$0.00,$18.70,,,,,
May-25-2019 11:42 AM,Transfer at Commercial Drive Stn,Stored Value,,$0.00,$18.70,,,,,
May-25-2019 11:10 AM,Tap in at Bus Stop 50276,Stored Value,,-$2.30,$18.70,,,,,
May-24-2019 02:50 PM,Transfer at Bus Stop 61701,Stored Value,,$0.00,$21.00,,,,,
May-24-2019 01:27 PM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$21.00,,,,,
May-23-2019 02:06 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$23.30,,,,,
May-23-2019 10:54 AM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$25.60,,,,,
May-22-2019 01:39 PM,Transfer at Bus Stop 58099,Stored Value,,$0.00,$27.90,,,,,
May-22-2019 01:24 PM,Tap out at Burrard Stn,Stored Value,,$2.10,$27.90,,,,,
May-22-2019 01:19 PM,Tap in at Stadium Stn,Stored Value,,-$4.40,$25.80,,,,,
May-22-2019 01:01 PM,Tap out at Stadium Stn,Stored Value,,$2.10,$30.20,,,,,
May-22-2019 12:56 PM,Transfer at Burrard Stn,Stored Value,,-$2.10,$28.10,,,,,
May-22-2019 11:52 AM,Tap out at Vancouver City Centre Stn,Stored Value,,$2.10,$30.20,,,,,
May-22-2019 11:41 AM,Tap in at Broadway-City Hall Stn,Stored Value,,-$4.40,$28.10,,,,,
May-22-2019 11:12 AM,Transfer at Bus Stop 61935,Stored Value,,$0.00,$32.50,,,,,
May-22-2019 09:58 AM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$32.50,,,,,
May-21-2019 09:45 PM,Tap in at Bus Stop 50579,Stored Value,,-$2.30,$34.80,,,,,
May-21-2019 06:57 PM,Transfer at Bus Stop 60726,Stored Value,,$0.00,$37.10,,,,,
May-21-2019 06:23 PM,Tap in at Bus Stop 50276,Stored Value,,-$2.30,$37.10,,,,,
May-21-2019 09:22 AM,Tap in at Bus Stop 58099,Stored Value,,-$2.30,$39.40,,,,,
May-18-2019 06:43 PM,Tap out at Lougheed Stn,Stored Value,,$0.00,$41.70,,,,,
May-18-2019 06:08 PM,Tap in at Burrard Stn,Stored Value,,-$2.30,$41.70,,,,,
May-18-2019 03:25 PM,Tap in at Bus Stop 50347,Stored Value,,-$2.30,$44.00,,,,,
May-15-2019 01:59 PM,Transfer at Bus Stop 52095,Stored Value,,$0.00,$46.30,,,,,
May-15-2019 01:25 PM,Tap in at Bus Stop 61935,Stored Value,,-$2.30,$46.30,,,,,
May-15-2019 10:58 AM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$48.60,,,,,
May-14-2019 03:40 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$50.90,,,,,
May-14-2019 03:40 PM,Loaded at Bus Stop 50268,Stored Value,,$50.00,$53.20,,,,,
May-14-2019 10:17 AM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$3.20,,,,,
May-14-2019 10:12 AM,"#15388166
Web Order",Transit value or product load,Add Stored Value,$50.00,,May-14-2019 10:12 AM,Visa,15388166,07634F,$50.00
May-13-2019 09:34 PM,Transfer at Bus Stop 58501,Stored Value,,$0.00,$5.50,,,,,
May-13-2019 09:27 PM,Tap out at Broadway-City Hall Stn,Stored Value,,$0.00,$5.50,,,,,
May-13-2019 09:05 PM,Tap in at Aberdeen Stn,Stored Value,,-$2.30,$5.50,,,,,
May-13-2019 05:07 PM,Transfer at Bus Stop 61935,Stored Value,,$0.00,$7.80,,,,,
May-13-2019 03:39 PM,Tap in at Bus Stop 50577,Stored Value,,-$2.30,$7.80,,,,,
May-13-2019 09:27 AM,Tap in at Bus Stop 50047,Stored Value,,-$2.30,$10.10,,,,,
May-11-2019 03:08 PM,Tap out at Metrotown Stn,Stored Value,,$0.00,$12.40,,,,,
May-11-2019 02:56 PM,Transfer at Commercial Drive Stn,Stored Value,,$0.00,$12.40,,,,,
May-11-2019 02:19 PM,Tap in at Bus Stop 50276,Stored Value,,-$2.30,$12.40,,,,,
May-10-2019 03:36 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$14.70,,,,,
May-10-2019 10:37 AM,Tap in at Bus Stop 50577,Stored Value,,-$2.30,$17.00,,,,,
May-09-2019 05:53 PM,Tap in at Bus Stop 61701,Stored Value,,-$2.30,$19.30,,,,,
May-09-2019 04:05 PM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$21.60,,,,,
May-09-2019 01:23 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$23.90,,,,,
May-09-2019 09:16 AM,Tap in at Bus Stop 50577,Stored Value,,-$2.30,$26.20,,,,,
May-08-2019 01:05 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$28.50,,,,,
May-08-2019 09:22 AM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$30.80,,,,,
May-07-2019 03:40 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$33.10,,,,,
May-07-2019 01:23 PM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$35.40,,,,,
May-07-2019 09:01 AM,Tap in at Bus Stop 58099,Stored Value,,-$2.30,$37.70,,,,,
May-07-2019 09:01 AM,Loaded at Bus Stop 58099,Stored Value,,$40.00,$40.00,,,,,
May-06-2019 04:00 PM,"#15283513
Web Order",Transit value or product load,Add Stored Value,$40.00,,May-06-2019 04:00 PM,Visa,15283513,00339F,$40.00
