DateTime,Transaction,Product,LineItem,Amount,BalanceDetails,OrderDate,Payment,OrderNumber,AuthCode,Total
May-15-2019 10:58 AM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$48.60,,,,,
May-14-2019 03:40 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$50.90,,,,,
May-14-2019 03:40 PM,Loaded at Bus Stop 50268,Stored Value,,$50.00,$53.20,,,,,
May-14-2019 10:17 AM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$3.20,,,,,
May-14-2019 10:12 AM,"#15388166
Web Order",Transit value or product load,Add Stored Value,$50.00,,May-14-2019 10:12 AM,Visa,15388166,07634F,$50.00
May-13-2019 09:34 PM,Transfer at Bus Stop 58501,Stored Value,,$0.00,$5.50,,,,,
May-13-2019 09:27 PM,Tap out at Broadway-City Hall Stn,Stored Value,,$0.00,$5.50,,,,,
May-13-2019 09:05 PM,Tap in at Aberdeen Stn,Stored Value,,-$2.30,$5.50,,,,,
May-13-2019 05:07 PM,Transfer at Bus Stop 61935,Stored Value,,$0.00,$7.80,,,,,
May-13-2019 03:39 PM,Tap in at Bus Stop 50577,Stored Value,,-$2.30,$7.80,,,,,
May-13-2019 09:27 AM,Tap in at Bus Stop 50047,Stored Value,,-$2.30,$10.10,,,,,
May-11-2019 03:08 PM,Tap out at Metrotown Stn,Stored Value,,$0.00,$12.40,,,,,
May-11-2019 02:56 PM,Transfer at Commercial Drive Stn,Stored Value,,$0.00,$12.40,,,,,
May-11-2019 02:19 PM,Tap in at Bus Stop 50276,Stored Value,,-$2.30,$12.40,,,,,
May-10-2019 03:36 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$14.70,,,,,
May-10-2019 10:37 AM,Tap in at Bus Stop 50577,Stored Value,,-$2.30,$17.00,,,,,
May-09-2019 05:53 PM,Tap in at Bus Stop 61701,Stored Value,,-$2.30,$19.30,,,,,
May-09-2019 04:05 PM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$21.60,,,,,
May-09-2019 01:23 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$23.90,,,,,
May-09-2019 09:16 AM,Tap in at Bus Stop 50577,Stored Value,,-$2.30,$26.20,,,,,
May-08-2019 01:05 PM,Tap in at Bus Stop 50268,Stored Value,,-$2.30,$28.50,,,,,
May-08-2019 09:22 AM,Tap in at Bus Stop 58023,Stored Value,,-$2.30,$30.80,,,,,
